Action,satisfaction,importance,opportunity
Actor0_Action4,7.785251962507406,5.328947368421053,7.785251962507406
Actor0_Action3,-5.915235691357683,6.907894736842104,6.907894736842104
Actor0_Action1,6.562835958376271,10.0,10.0
Actor0_Action2,-5.374918824285984,6.776315789473683,6.776315789473683
Actor1_Action1,3.195570328129675,1.8421052631578947,3.195570328129675
Actor1_Action3,7.830087326678936,0.986842105263158,7.830087326678935
Actor1_Action4,-1.9578655528094213,0.0,0.0
Actor1_Action2,-10.0,1.4473684210526314,1.4473684210526314
Actor2_Action3,-8.143397745121606,3.6184210526315788,3.6184210526315788
Actor2_Action4,-2.254486224224573,2.4342105263157894,2.4342105263157894
Actor2_Action1,-4.258104314676833,5.723684210526315,5.723684210526315
Actor2_Action2,9.999999999999998,3.355263157894737,9.999999999999998
